"ID","mean_Ctrl3w","mean_KO3w","mean_Ctrl8w_NaCl","mean_KO8w_NaCl","mean_KO8w_AAV"
"ENSMUSG00000000938",0.2,0.166666666666667,0.4,0.833333333333333,0.166666666666667
"ENSMUSG00000000942",8.4,6.83333333333333,6.8,4.16666666666667,4.66666666666667
"ENSMUSG00000000948",11.6,6.83333333333333,8.2,12.8333333333333,5.16666666666667
"ENSMUSG00000000957",1183,1154.83333333333,380,1235.83333333333,1067
"ENSMUSG00000000958",111.8,138.166666666667,106.8,178.5,152.5
"ENSMUSG00000000959",4293.2,3699.16666666667,2629.8,2624.83333333333,2152.5
"ENSMUSG00000000976",447.2,392.166666666667,353.2,421.666666666667,409
"ENSMUSG00000000982",2.2,2.83333333333333,3.2,18.6666666666667,12.5
"ENSMUSG00000000983",0.4,1,0.8,3.5,4.33333333333333
"ENSMUSG00000001014",8.8,10,15,11,12.8333333333333
"ENSMUSG00000001016",1328.8,1208.33333333333,962.4,1032.33333333333,833.333333333333
"ENSMUSG00000001017",3401,3025.16666666667,2393.6,2673.33333333333,2105
"ENSMUSG00000001018",2079.8,1933.66666666667,1852.6,1725.5,1778.16666666667
"ENSMUSG00000001020",50.2,42.8333333333333,44,106,51.5
"ENSMUSG00000001021",0,0.166666666666667,0.6,1,1
"ENSMUSG00000001023",0.2,0,0.6,0,0
"ENSMUSG00000001025",993,923.833333333333,765.2,1613.66666666667,1136
"ENSMUSG00000001027",309.4,556.333333333333,911.4,202.833333333333,434.166666666667
"ENSMUSG00000001029",1065.6,999.666666666667,748,562.5,847.5
"ENSMUSG00000001034",497.2,423.166666666667,296.6,516.666666666667,438.5
"ENSMUSG00000001036",1450.8,1364.16666666667,1361,1501.66666666667,1389.5
"ENSMUSG00000001039",78.8,69.3333333333333,62.6,70,84.6666666666667
"ENSMUSG00000001052",1313.6,1185.33333333333,946,1387.16666666667,1143.33333333333
"ENSMUSG00000001053",592.4,624.166666666667,406.6,914.833333333333,593.333333333333
"ENSMUSG00000001054",571.8,523.666666666667,425.6,664,503.333333333333
"ENSMUSG00000001056",374,400.333333333333,311.2,1008.66666666667,425.5
"ENSMUSG00000001062",993.4,964.333333333333,932.6,918.5,921.5
"ENSMUSG00000001065",852.6,766,654.8,652.833333333333,665.333333333333
"ENSMUSG00000001076",0.2,0.333333333333333,0,0.666666666666667,0
"ENSMUSG00000001082",349.8,333.833333333333,245.8,356.333333333333,343.166666666667
"ENSMUSG00000001089",2072,1769,1261.8,1755.66666666667,1422.33333333333
"ENSMUSG00000001095",0.2,0.5,0,0,0.5
"ENSMUSG00000001098",2390,2245.5,1933.4,2847.5,2307.16666666667
